emp_class,gender,department,sub_division,gspecial,jobtitle,rank,servstatus,age,expyears,mstatue,nkids,salary,degree,performance
หัวหน้างาน,เพศหญิง,Sales and Marketing (Department),International Exhibition & Convention (Rea),International Exhibition & Convention (Rea),Assistant Manager - Sales,6,ปัจจุบัน,38,11,โสด,0,37750,ปริญญาตรี,A
หัวหน้างาน,เพศชาย,Restaurant Group (Department),Retro Bar Cafe' - Service,Retro Bar Cafe' - Service,Assistant Manager - Pub,6,พ้นสภาพ,47,11,โสด,0,31892,ปริญญาตรี,C
พนักงาน,เพศชาย,Management Office (Department),Reception & Operator,Reception & Operator,Driver,10,ปัจจุบัน,42,11,โสด,0,24011,,A
พนักงาน,เพศชาย,Operations (Department),VRM,VRM,VRM Executive,8,พ้นสภาพ,40,11,โสด,0,19695,ปริญญาตรี,C
พนักงาน,เพศหญิง,Finance & Accounting (Department),Finance2,Finance2,Cashier,9,ปัจจุบัน,46,11,โสด,0,18703,,B
หัวหน้างาน,เพศหญิง,Facility Management & IT (Department),Administration (FM),Administration (FM),Supervisor - Administrative,7,ปัจจุบัน,34,11,โสด,0,25573,ปริญญาตรี,A
หัวหน้างาน,เพศหญิง,Procurement (Department),Procurement - Non Food,Procurement - Non Food,Procurement Supervisor,7,ปัจจุบัน,41,11,โสด,0,30121,ปริญญาตรี,C
พนักงาน,เพศชาย,Kitchen (Department),Kitchen Cleaner,Kitchen Cleaner,Assistant Supervisor Kitchen Cleaner,9,พ้นสภาพ,55,11,โสด,1,12000,ปริญญาตรี,C
พนักงาน,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Banquet Captain,8,ปัจจุบัน,46,11,โสด,1,20258,ปริญญาตรี,C
พนักงาน,เพศชาย,Operations (Department),VRM,VRM,VRM Executive,8,พ้นสภาพ,40,11,โสด,0,21115,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),F&B-BQ-SEC,F&B-BQ-SEC,Banquet Captain,8,ปัจจุบัน,42,11,แต่งงาน,0,18025,ปริญญาตรี,C
พนักงาน,เพศชาย,Kitchen (Department),Pastry Kitchen,Pastry Kitchen,Commis II,10,ปัจจุบัน,34,10,แต่งงาน,1,16170,,B
พนักงาน,เพศชาย,Operations (Department),Data Center and Store,Data Center and Store,Senior R&M Officer,8,ปัจจุบัน,50,10,โสด,0,17634,ปริญญาตรี,A
พนักงาน,เพศหญิง,Operations (Department),Data Center and Store,Data Center and Store,Senior Data Center Officer,8,ปัจจุบัน,41,10,โสด,0,17304,ปริญญาตรี,C
พนักงาน,เพศชาย,Kitchen (Department),Chef Office,Chef Office,Senior Driver,10,ปัจจุบัน,46,10,โสด,1,19158,,C
พนักงาน,เพศหญิง,Kitchen (Department),Pastry Kitchen,Pastry Kitchen,Demi Chef,8,ปัจจุบัน,44,10,โสด,0,21878,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,City Management (Department),City Traffic and Security,City Traffic and Security,Supervisor City Traffic and Security,7,ปัจจุบัน,41,10,แต่งงาน,2,21209,ปริญญาตรี,C
พนักงาน,เพศหญิง,Kitchen (Department),Thai Kitchen,Thai Kitchen,Commis I,9,พ้นสภาพ,48,10,โสด,1,18755,,B
พนักงาน,เพศชาย,Restaurant Group (Department),Terrazza - Kitchen,Terrazza - Kitchen,Chef de Partie,8,พ้นสภาพ,34,10,โสด,0,23000,ปริญญาตรี,C
พนักงาน,เพศชาย,Chinese Restaurant (Kitchen) (Department),Chinese Banquet Kitchen,Chinese Banquet Kitchen,Wok III,8,ปัจจุบัน,30,10,โสด,0,26986,ปริญญาตรี,A
พนักงาน,เพศชาย,Management Office (Department),Main Transport Center,Main Transport Center,Driver,10,พ้นสภาพ,51,10,โสด,0,13529,,C
หัวหน้างาน,เพศหญิง,Food & Beverage (Department),Banquet - Service,Banquet - Service,Supervisor - Banquet,7,ปัจจุบัน,35,10,โสด,1,25612,ปริญญาตรี,B
พนักงาน,เพศหญิง,Finance & Accounting (Department),Cashier (Car Park),Cashier (Car Park),Cashier (Outlet Card),9,พ้นสภาพ,38,10,โสด,0,17903,,B
พนักงาน,เพศหญิง,Finance & Accounting (Department),Finance2,Finance2,Cashier,9,ปัจจุบัน,49,10,โสด,0,17714,,C
พนักงาน,เพศหญิง,Facility Management & IT (Department),Engineering,Engineering,Senior Officer - Document Control,8,พ้นสภาพ,33,10,โสด,0,18956,ปริญญาตรี,B
พนักงาน,เพศชาย,Operations (Department),Set Up,Set Up,Senior Set up Officer,8,ปัจจุบัน,35,10,โสด,0,17304,ปริญญาตรี,C
พนักงาน,เพศชาย,Restaurant Group (Department),Flann Impact - Kitchen,Flann Impact - Kitchen,Demi Chef,9,ปัจจุบัน,27,10,โสด,0,17000,,C
หัวหน้างาน,เพศหญิง,Sales and Marketing (Department),Sales and Marketing,Sales and Marketing,Assistant Manager - Sales,6,พ้นสภาพ,38,10,โสด,0,33290,ปริญญาตรี,B
พนักงาน,เพศหญิง,Food & Beverage (Department),Banquet - Support,Banquet - Support,Florist Leader,8,ปัจจุบัน,33,10,โสด,0,20500,ปริญญาตรี,D
ผู้จัดการ,เพศหญิง,Real Estate (Department),Real Estate Media,Real Estate Media,Senior Manager - Media,4,พ้นสภาพ,46,10,โสด,0,44100,ปริญญาตรี,A
ผู้จัดการ,เพศหญิง,Exhibition Project (Department),Consumer Team,Consumer Team Center,Manager - Marketing,5,ปัจจุบัน,36,10,โสด,0,46305,ปริญญาตรี,B
พนักงาน,เพศชาย,Management Office (Department),Management Office,Management Office,Supervisor,8,พ้นสภาพ,33,10,โสด,0,33138,ปริญญาตรี,B
พนักงาน,เพศชาย,Finance & Accounting (Department),Assets,Assets,Assets Officer,9,พ้นสภาพ,48,10,โสด,0,22619,,C
ผู้จัดการ,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Executive Housekeeper,4,ปัจจุบัน,56,10,โสด,0,145890,,B
หัวหน้างาน,เพศชาย,Exhibition Project (Department),Trade Team,Trade A Center,Graphic Designer,7,พ้นสภาพ,38,10,แต่งงาน,1,26250,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Finance & Accounting (Department),Accounting,Accounting,Supervisor Account Payable,7,ปัจจุบัน,39,10,โสด,0,34240,ปริญญาตรี,A
พนักงาน,เพศชาย,Food & Beverage (Department),Beverage (Service),Beverage (Service),Bar Captain,8,ปัจจุบัน,33,10,แต่งงาน,1,19873,ปริญญาตรี,C
พนักงาน,เพศหญิง,Procurement (Department),Administration,Administration,Senior Administrative Officer,8,ปัจจุบัน,40,10,แต่งงาน,0,21639,ปริญญาตรี,C
พนักงาน,เพศหญิง,Restaurant Group (Department),Restaurant Group,Restaurant Group,Administrative Officer,9,ปัจจุบัน,41,10,โสด,0,18572,,B
พนักงาน,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Banquet Captain,8,ปัจจุบัน,32,10,โสด,0,21879,ปริญญาตรี,B
พนักงาน,เพศหญิง,Operations (Department),Set Up,Set Up,Senior Set up Officer,8,ปัจจุบัน,31,10,โสด,0,17640,ปริญญาตรี,B
พนักงาน,เพศหญิง,Restaurant Group (Department),Retro Bar Cafe' - Kitchen,Retro Bar Cafe' - Kitchen,Commis II,10,ปัจจุบัน,46,10,โสด,0,14347,,C
พนักงาน,เพศหญิง,Real Estate (Department),Real Estate Tenant Coordinator,Real Estate Tenant Coordinator,Senior Service Staff,9,ปัจจุบัน,48,10,แต่งงาน,3,16219,,C
หัวหน้างาน,เพศหญิง,Operations (Department),Service Operation,Service Operation,Supervisor - VRM,7,ปัจจุบัน,37,10,โสด,0,25927,ปริญญาตรี,C
พนักงาน,เพศชาย,Restaurant Group (Department),Flann Impact - Kitchen,Flann Impact - Kitchen,Commis II,10,ปัจจุบัน,33,10,โสด,0,16747,,A
พนักงาน,เพศชาย,Corporate Human Resources (Department),Casual Management,Casual Management,Casual Management Executive,8,พ้นสภาพ,33,10,โสด,0,27363,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,พ้นสภาพ,58,10,โสด,0,15035,,C
พนักงาน,เพศชาย,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,ปัจจุบัน,42,9,โสด,0,15035,,B
หัวหน้างาน,เพศชาย,Operations (Department),Service Operation,Service Operation,Senior Executive - Service Operation,7,ปัจจุบัน,35,10,โสด,0,27783,ปริญญาตรี,B
ผู้จัดการ,เพศหญิง,Operations (Department),Data Center and Store,Data Center and Store,Manager - Data Center and Store,5,ปัจจุบัน,42,10,โสด,1,62209,ปริญญาตรี,B
พนักงาน,เพศหญิง,Real Estate (Department),Real Estate Media,Real Estate Media,Media Operation Executive,8,ปัจจุบัน,35,10,โสด,0,26450,ปริญญาตรี,C
พนักงาน,เพศหญิง,Facility Management & IT (Department),Administration (FM),Administration (FM),Senior Officer - Administrative,8,ปัจจุบัน,40,10,แต่งงาน,0,18421,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),Banquet - Service(Fastfood),Banquet - Service(Fastfood),Banquet Captain,8,ปัจจุบัน,37,10,แต่งงาน,2,19950,ปริญญาตรี,B
พนักงาน,เพศชาย,Chinese Restaurant (Kitchen) (Department),Hong Kong Fisherman - Kitchen,Hong Kong Fisherman - Kitchen,Wok III,8,ปัจจุบัน,38,10,โสด,0,23845,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Assistant Manager - Housekeeping,6,ปัจจุบัน,45,10,โสด,1,38850,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Chief Building,7,ปัจจุบัน,59,10,โสด,0,33990,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Food & Beverage (Department),Catering,Catering,Catering Executive,7,พ้นสภาพ,39,10,โสด,0,29211,ปริญญาตรี,B
พนักงาน,เพศหญิง,Operations (Department),Service Operation,Service Operation,Service Operation Executive,8,ปัจจุบัน,35,10,โสด,0,25680,ปริญญาตรี,A
พนักงาน,เพศหญิง,Management Office (Department),Reception & Operator,Reception & Operator,Supervisor,8,ปัจจุบัน,40,10,โสด,0,25048,ปริญญาตรี,D
หัวหน้างาน,เพศชาย,Restaurant Group (Department),Manorah - Kitchen,Manorah - Kitchen,Sous Chef,6,ปัจจุบัน,54,10,แต่งงาน,1,43195,ปริญญาตรี,D
พนักงาน,เพศหญิง,Finance & Accounting (Department),Cashier (Car Park3),Cashier (Car Park3),Cashier (Car Park),10,พ้นสภาพ,45,10,หย่า,0,15640,,C
หัวหน้างาน,เพศชาย,IMPACT Lake Front (Department),Jackie Seafood - Kitchen,Jackie Seafood - Kitchen,Wok I,6,ปัจจุบัน,44,9,โสด,3,47794,ปริญญาตรี,B
พนักงาน,เพศหญิง,Finance & Accounting (Department),Finance2,Finance2,Cashier,9,ปัจจุบัน,36,10,โสด,0,17750,,B
พนักงาน,เพศหญิง,Kitchen (Department),Thai Kitchen,Thai Kitchen,Demi Chef,8,ปัจจุบัน,41,10,โสด,0,19453,ปริญญาตรี,D
พนักงาน,เพศหญิง,Finance & Accounting (Department),Accounting,Accounting,Account Payable,8,ปัจจุบัน,37,10,โสด,0,23686,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,City Management (Department),City Traffic and Security,City Traffic and Security,Supervisor City Traffic and Security,7,ปัจจุบัน,42,10,โสด,0,23793,ปริญญาตรี,B
พนักงาน,เพศหญิง,Kitchen (Department),Fast Food Kitchen,Fast Food Kitchen,Commis I,9,พ้นสภาพ,49,10,โสด,0,12000,,C
พนักงาน,เพศหญิง,Kitchen (Department),Thai Kitchen,Thai Kitchen,Commis II,10,ปัจจุบัน,54,9,โสด,0,14971,,C
พนักงาน,เพศหญิง,Kitchen (Department),Thai Kitchen,Thai Kitchen,Commis II,10,พ้นสภาพ,49,9,โสด,1,11000,,C
หัวหน้างาน,เพศหญิง,Finance & Accounting (Department),Accounting,Accounting,Supervisor Income Auditor,7,ปัจจุบัน,40,9,โสด,0,33600,ปริญญาตรี,B
พนักงาน,เพศหญิง,Corporate Human Resources (Department),People Development,People Development,People Development Executive,8,ปัจจุบัน,37,9,โสด,1,31973,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Operations (Department),Service Operation,Service Operation,Assistant Manager - Service Operation,6,ปัจจุบัน,40,9,โสด,0,40425,ปริญญาตรี,B
พนักงาน,เพศชาย,Kitchen (Department),Fast Food Kitchen,Fast Food Kitchen,Commis II,10,ปัจจุบัน,39,9,โสด,0,15276,,C
พนักงาน,เพศหญิง,Kitchen (Department),Preparation Kitchen,Preparation Kitchen,Commis II,10,ปัจจุบัน,54,9,โสด,2,17034,,B
ผู้จัดการ,เพศหญิง,Food & Beverage (Department),Catering,Catering,Manager - Catering,5,พ้นสภาพ,40,9,โสด,0,47316,ปริญญาตรี,B
พนักงาน,เพศหญิง,Finance & Accounting (Department),Finance2,Finance2,Supervisor - Cashier,8,ปัจจุบัน,38,9,โสด,0,18743,ปริญญาตรี,B
พนักงาน,เพศหญิง,Operations (Department),Housekeeping,Housekeeping,Housekeeping Attendant,10,ปัจจุบัน,57,9,โสด,0,13917,,A
หัวหน้างาน,เพศหญิง,Corporate Communications (Department),Leisure & Restaurant Public Relations,Leisure & Restaurant Public Relations,Public Relations Executive,7,ปัจจุบัน,41,9,โสด,0,36841,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),Banquet - Support,Banquet - Support,Florist Attendant,10,ปัจจุบัน,56,9,โสด,0,17733,,B
พนักงาน,เพศชาย,Operations (Department),Set Up,Set Up,Set up Officer,9,พ้นสภาพ,42,9,โสด,0,12500,,C
พนักงาน,เพศชาย,Operations (Department),Set Up,Set Up,Senior Set up Officer,8,ปัจจุบัน,52,9,โสด,0,16974,ปริญญาตรี,C
ผู้จัดการ,เพศหญิง,Human Resources (Department),HR Office,HR Office,Senior Manager - MSM/MBS,5,พ้นสภาพ,54,9,แต่งงาน,2,55000,ปริญญาตรี,C
พนักงาน,เพศหญิง,Finance & Accounting (Department),Finance2,Finance2,Cashier,9,ปัจจุบัน,39,9,โสด,0,18959,,B
พนักงาน,เพศหญิง,Operations (Department),Service Operation,Service Operation,Service Operation Executive,8,พ้นสภาพ,33,9,โสด,0,23690,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Food & Beverage (Department),F&B-BQ-SEC,F&B-BQ-SEC,Assistant Manager - Catering,6,ปัจจุบัน,33,9,โสด,0,33031,ปริญญาตรี,A
หัวหน้างาน,เพศชาย,Sales and Marketing (Department),Exhibition (Local) - Proactive,Exhibition (Local) - Proactive,Assistant Manager - Sales,6,พ้นสภาพ,47,9,โสด,0,39389,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Corporate Human Resources (Department),Casual Management,Casual Management,Casual Management Support Supervisor,7,ปัจจุบัน,48,9,แต่งงาน,1,45569,ปริญญาตรี,B
พนักงาน,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Banquet Captain,8,ปัจจุบัน,32,9,โสด,0,21053,ปริญญาตรี,C
ผู้จัดการ,เพศหญิง,Sales and Marketing (Department),Corporate & Media (Proactive),Corporate & Media (Proactive),Senior Manager - Sales,4,ปัจจุบัน,54,9,โสด,1,100000,,B
หัวหน้างาน,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Chief Building,7,ปัจจุบัน,36,9,แต่งงาน,0,33600,ปริญญาตรี,B
พนักงาน,เพศชาย,Kitchen (Department),Pastry Kitchen,Pastry Kitchen,Commis II,10,ปัจจุบัน,46,9,แต่งงาน,2,17663,,C
พนักงาน,เพศชาย,IT and Communication (Department),IT System and Media Support,IT System and Media Support,Officer - Network Support,9,พ้นสภาพ,38,9,โสด,0,18522,ปริญญาตรี,D
พนักงาน,เพศชาย,Operations (Department),Set Up,Set Up,Senior Set up Officer,8,ปัจจุบัน,29,8,โสด,0,17325,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Kitchen (Department),Pastry Kitchen,Pastry Kitchen,Chef de Partie,7,ปัจจุบัน,43,9,แต่งงาน,2,33763,ปริญญาตรี,A
พนักงาน,เพศชาย,Chinese Restaurant (Kitchen) (Department),Hong Kong Cafe - Kitchen,Hong Kong Cafe - Kitchen,Chef de Partie,8,ปัจจุบัน,50,9,โสด,1,27080,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,IMPACT Lake Front (Department),Jackie Seafood - Kitchen,Jackie Seafood - Kitchen,BBQ I,7,ปัจจุบัน,29,8,โสด,1,17996,ปริญญาตรี,B
พนักงาน,เพศหญิง,IMPACT Lake Front (Department),ISAN@ARENA - Kitchen,ISAN@ARENA - Kitchen,Commis I,9,ปัจจุบัน,46,9,โสด,0,16223,,C
พนักงาน,เพศชาย,Kitchen (Department),Thai Kitchen,Thai Kitchen,Commis II,10,ปัจจุบัน,28,7,โสด,0,14420,,C
หัวหน้างาน,เพศชาย,Chinese Restaurant (Kitchen) (Department),Hong Kong Suki - Kitchen (Portal),Hong Kong Suki - Kitchen (Portal),Wok I,6,ปัจจุบัน,45,9,โสด,0,29809,ปริญญาตรี,C
พนักงาน,เพศชาย,Finance & Accounting (Department),Store,Store,Storekeeper,9,ปัจจุบัน,39,9,โสด,0,18402,,B
พนักงาน,เพศหญิง,Operations (Department),Set Up,Set Up,Set up Officer,9,พ้นสภาพ,34,8,โสด,0,12500,,B
พนักงาน,เพศหญิง,Restaurant Group (Department),Manorah - Kitchen,Manorah - Kitchen,Commis I,9,ปัจจุบัน,31,9,โสด,0,15150,,D
พนักงาน,เพศหญิง,Food & Beverage (Department),F&B-BQ-SEC,F&B-BQ-SEC,Florist Attendant,10,ปัจจุบัน,55,8,โสด,0,14882,,B
พนักงาน,เพศชาย,Food & Beverage (Department),Beverage (Service),Beverage (Service),Bar Waiter,9,ปัจจุบัน,37,9,โสด,0,16227,,C
พนักงาน,เพศชาย,Operations (Department),Audio Visual,Audio Visual,Audio Visual Operator,9,ปัจจุบัน,31,9,โสด,0,17531,,B
พนักงาน,เพศหญิง,Kitchen (Department),Preparation Kitchen,Preparation Kitchen,Commis III,11,ปัจจุบัน,27,9,โสด,1,13112,,D
พนักงาน,เพศหญิง,Restaurant Group (Department),Hong Kong Cafe - Service,Hong Kong Cafe - Service,Supervisor,8,ปัจจุบัน,31,9,โสด,0,18000,ปริญญาตรี,B
พนักงาน,เพศหญิง,Restaurant Group (Department),Hong Kong Fisherman - Service,Hong Kong Fisherman - Service,Steward,11,ปัจจุบัน,54,9,โสด,0,12810,,C
พนักงาน,เพศหญิง,Operations (Department),VRM,VRM,VRM Executive,8,พ้นสภาพ,36,9,โสด,0,22877,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Sales and Marketing (Department),Sales Administration,Sales Administration,Database Management System Executive,7,ปัจจุบัน,36,9,โสด,0,28665,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Operations (Department),Service Operation,Service Operation,Assistant Manager - Service Operation,6,ปัจจุบัน,38,9,โสด,0,34178,ปริญญาตรี,B
พนักงาน,เพศชาย,Operations (Department),Set Up,Set Up,Senior Set up Officer,8,ปัจจุบัน,43,8,แต่งงาน,0,17634,ปริญญาตรี,A
พนักงาน,เพศหญิง,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,ปัจจุบัน,49,9,โสด,0,13778,,C
พนักงาน,เพศหญิง,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,ปัจจุบัน,55,9,โสด,0,13776,,D
พนักงาน,เพศชาย,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,ปัจจุบัน,54,9,โสด,0,14829,,C
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Steward,Steward,Supervisor - Steward,7,ปัจจุบัน,44,9,หย่า,0,20600,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,ปัจจุบัน,43,9,โสด,0,15704,,A
หัวหน้างาน,เพศหญิง,Food & Beverage (Department),Catering,Catering,Assistant Manager - Catering,6,ปัจจุบัน,33,9,โสด,0,35000,ปริญญาตรี,B
พนักงาน,เพศหญิง,Restaurant Group (Department),Manorah - Service,Manorah - Service,Captain,9,ปัจจุบัน,28,9,แต่งงาน,1,15898,,B
พนักงาน,เพศหญิง,Kitchen (Department),Kitchen Cleaner,Kitchen Cleaner,Cleaner,11,พ้นสภาพ,56,9,โสด,0,11550,,C
พนักงาน,เพศชาย,Finance & Accounting (Department),Assets,Assets,Assets Officer,9,ปัจจุบัน,32,9,โสด,0,22050,,B
หัวหน้างาน,เพศหญิง,Procurement (Department),Procurement - Food,Procurement - Food,Procurement Supervisor,7,ปัจจุบัน,34,9,โสด,0,33000,ปริญญาตรี,B
พนักงาน,เพศชาย,City Management (Department),Landscape & Sanitation,Landscape & Sanitation,Senior Staff Landscape & Sanitation,10,ปัจจุบัน,53,9,โสด,0,20258,,C
หัวหน้างาน,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Chief Building,7,ปัจจุบัน,44,9,โสด,0,29870,ปริญญาตรี,C
พนักงาน,เพศหญิง,Kitchen (Department),Kitchen Cleaner,Kitchen Cleaner,Cleaner,11,ปัจจุบัน,39,9,แต่งงาน,2,13880,,B
หัวหน้างาน,เพศชาย,Chinese Restaurant (Kitchen) (Department),Hong Kong Fisherman - Kitchen,Hong Kong Fisherman - Kitchen,Chopper I,6,พ้นสภาพ,35,9,โสด,0,30000,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Operations (Department),Audio Visual,Audio Visual,Assistant Manager - Audio Visual,6,ปัจจุบัน,36,9,โสด,0,31500,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Sales and Marketing (Department),Government (Proactive),Government (Proactive),Assistant Manager - Government,6,ปัจจุบัน,35,9,โสด,0,36750,ปริญญาตรี,B
พนักงาน,เพศชาย,Operations (Department),Loss Prevention Control,Loss Prevention Control,Loss Prevention Officer,9,พ้นสภาพ,35,9,โสด,0,16701,,C
พนักงาน,เพศหญิง,Restaurant Group (Department),Jackie Seafood - Service,Jackie Seafood - Service,Captain,9,พ้นสภาพ,48,8,โสด,0,16375,,C
พนักงาน,เพศชาย,Kitchen (Department),Preparation Kitchen,Preparation Kitchen,Commis II,10,พ้นสภาพ,41,9,โสด,0,15705,,B
พนักงาน,เพศหญิง,Food & Beverage (Department),Banquet - Service,Banquet - Service,Banquet Captain,8,ปัจจุบัน,34,9,โสด,2,19838,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Exhibition Project (Department),Trade Team,Trade A,Senior Executive - PR,7,พ้นสภาพ,36,9,แต่งงาน,0,35000,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Exhibition Project (Department),Trade Team,Trade B Center,Graphic Designer,7,ปัจจุบัน,34,9,โสด,0,33600,ปริญญาตรี,B
พนักงาน,เพศชาย,Finance & Accounting (Department),Cashier (Car Park),Cashier (Car Park),Cashier (Car Park),10,พ้นสภาพ,32,9,โสด,0,13323,ปริญญาตรี,D
พนักงาน,เพศชาย,Chinese Restaurant (Kitchen) (Department),Hong Kong Fisherman - Kitchen,Hong Kong Fisherman - Kitchen,Dim Sum III,8,ปัจจุบัน,37,9,โสด,0,21258,ปริญญาตรี,C
พนักงาน,เพศชาย,Chinese Restaurant (Kitchen) (Department),Hong Kong Cafe - Kitchen,Hong Kong Cafe - Kitchen,Wok III,8,ปัจจุบัน,50,9,หม้าย,0,23376,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),F&B-BQ-SEC,F&B-BQ-SEC,Banquet Captain,8,ปัจจุบัน,46,9,หม้าย,3,19055,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),Banquet - Service,Banquet - Service,Banquet Captain,8,ปัจจุบัน,27,9,โสด,0,18849,ปริญญาตรี,C
พนักงาน,เพศชาย,IMPACT Lake Front (Department),Breeze Cafe & Bar - Service,Breeze Cafe & Bar - Service,Bar Captain,9,ปัจจุบัน,27,9,โสด,0,15750,,B
พนักงาน,เพศหญิง,Restaurant Group (Department),Hong Kong Fisherman - Service,Hong Kong Fisherman - Service,Hostess,9,ปัจจุบัน,27,9,โสด,0,14420,,C
พนักงาน,เพศชาย,Finance & Accounting (Department),Costing,Costing,Supervisor - Receiving,8,ปัจจุบัน,38,9,โสด,0,22050,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Corporate Communications (Department),Creative & Graphic Design,Creative & Graphic Design,Senior Executive - Creative & Graphic Design,6,พ้นสภาพ,44,9,โสด,1,41778,ปริญญาตรี,C
พนักงาน,เพศชาย,Food & Beverage (Department),Beverage (Service),Beverage (Service),Bar Captain,8,ปัจจุบัน,29,9,โสด,1,20837,ปริญญาตรี,B
ผู้จัดการ,เพศชาย,Kitchen (Department),Pastry Kitchen,Pastry Kitchen,Pastry Chef,4,ปัจจุบัน,45,9,แต่งงาน,5,75000,,A
หัวหน้างาน,เพศหญิง,Restaurant Group (Department),Hong Kong Suki - Service (Portal),Hong Kong Suki - Service (Portal),Assistant Manager - Restaurant,7,ปัจจุบัน,43,9,โสด,0,22660,ปริญญาตรี,C
พนักงาน,เพศหญิง,Restaurant Group (Department),Hong Kong Cafe - Service,Hong Kong Cafe - Service,Server,10,พ้นสภาพ,42,9,โสด,0,11000,,C
หัวหน้างาน,เพศหญิง,IMPACT Lake Front (Department),ISAN JIM JOOM - Kitchen,ISAN JIM JOOM - Kitchen,Sous Chef,6,ปัจจุบัน,44,9,โสด,0,36750,ปริญญาตรี,B
พนักงาน,เพศชาย,Finance & Accounting (Department),Account,Account,Checker,9,ปัจจุบัน,32,9,โสด,0,15450,,C
พนักงาน,เพศหญิง,Chinese Restaurant (Kitchen) (Department),Hong Kong Suki - Kitchen (Portal),Hong Kong Suki - Kitchen (Portal),Commis I,9,ปัจจุบัน,41,9,โสด,2,22135,ปริญญาตรี,B
พนักงาน,เพศหญิง,Kitchen (Department),Kitchen Cleaner,Kitchen Cleaner,Cleaner,11,พ้นสภาพ,53,8,โสด,0,11550,,D
พนักงาน,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Banquet Captain,8,ปัจจุบัน,42,9,โสด,0,19838,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),Banquet - Service,Banquet - Service,Banquet Captain,8,พ้นสภาพ,34,9,แต่งงาน,1,20008,ปริญญาตรี,C
พนักงาน,เพศหญิง,Food & Beverage (Department),Banquet - Service,Banquet - Service,Banquet Captain,8,พ้นสภาพ,26,9,โสด,0,19474,ปริญญาตรี,C
พนักงาน,เพศหญิง,Finance & Accounting (Department),Account,Account,Accounting Officer,8,ปัจจุบัน,35,8,โสด,0,14281,ปริญญาตรี,D
พนักงาน,เพศชาย,Finance & Accounting (Department),Credit Control,Credit Control,Data Entry,10,พ้นสภาพ,43,7,โสด,0,16550,,C
หัวหน้างาน,เพศชาย,Operations (Department),Housekeeping,Housekeeping,Chief Building,7,ปัจจุบัน,45,8,โสด,0,30900,ปริญญาตรี,C
หัวหน้างาน,เพศหญิง,Operations (Department),Service Operation,Service Operation,Senior Executive - Service Operation,7,พ้นสภาพ,45,8,แต่งงาน,0,24401,ปริญญาตรี,A
หัวหน้างาน,เพศชาย,Chinese Restaurant (Kitchen) (Department),Chinese Banquet Kitchen,Chinese Banquet Kitchen,Chopper I,6,ปัจจุบัน,51,8,โสด,1,33210,ปริญญาตรี,D
พนักงาน,เพศชาย,Operations (Department),Loss Prevention Control,Loss Prevention Control,Radio Control Officer,9,ปัจจุบัน,41,7,โสด,0,13105,,D
พนักงาน,เพศหญิง,Management Office (Department),Corporate Affairs,Corporate Affairs,Senior Officer - Administrative,8,ปัจจุบัน,35,8,โสด,0,26355,ปริญญาตรี,B
